DocType: Accounting Period,Period Name,Nama Periode
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Accounts table cannot be blank.,Tabel akun tidak boleh kosong.
DocType: Delivery Trip,Use Google Maps Direction API to calculate estimated arrival times,Gunakan Google Maps Direction API untuk menghitung perkiraan waktu kedatangan
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans (Liabilities),Pinjaman (Kewajiban)
DocType: Patient Encounter,Encounter Time,Waktu Pertemuan
DocType: Staffing Plan Detail,Total Estimated Cost,Total Perkiraan Biaya
DocType: Employee Education,Year of Passing,Tahun Kelulusan
DocType: Routing,Routing Name,Nama Routing
DocType: Item,Country of Origin,Negara Asal
DocType: Soil Texture,Soil Texture Criteria,Kriteria Tekstur Tanah
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,In Stock,Tersedia
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js,Primary Contact Details,Rincian Kontak Utama
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Issues,Isu Terbuka
DocType: Production Plan Item,Production Plan Item,Item Rencana Produksi
DocType: Leave Ledger Entry,Leave Ledger Entry,Entri Buku Cuti
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} is already assigned to Employee {1},Pengguna {0} sudah digunakan untuk Karyawan {1}
DocType: Lab Test Groups,Add new line,Tambahkan baris baru
apps/erpnext/erpnext/utilities/activation.py,Create Lead,Buat Lead
DocType: Production Plan,Projected Qty Formula,Rumus Proyeksi Qty
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Health Care,Kesehatan
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,Delay in payment (Days),Keterlambatan pembayaran (Hari)
DocType: Payment Terms Template Detail,Payment Terms Template Detail,Rincian Template Syarat Pembayaran
DocType: Hotel Room Reservation,Guest Name,Nama Tamu
DocType: Delivery Note,Issue Credit Note,Terbitkan Nota Kredit
DocType: Lab Prescription,Lab Prescription,Resep Lab
,Delay Days,Hari Penundaan
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Service Expense,Biaya Perbaikan
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Serial Number: {0} is already referenced in Sales Invoice: {1},Nomor Seri: {0} sudah dirujuk dalam Faktur Penjualan: {1}
DocType: Bank Statement Transaction Invoice Item,Invoice,Faktur
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,Jumlah Maksimum Pengecualian
DocType: Purchase Invoice Item,Item Weight Details,Rincian Berat Item
DocType: Asset Maintenance Log,Periodicity,Periode
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} is required,Tahun Fiskal {0} harus diisi
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Net Profit/Loss,Laba/Rugi Bersih
DocType: Employee Group Table,ERPNext User ID,ID Pengguna
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,Jarak minimum antara deretan tanaman untuk pertumbuhan optimum
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Please select Patient to get prescribed procedure,Pilih Pasien untuk mendapatkan prosedur yang ditetapkan
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Defense,Pertahanan
DocType: Salary Component,Abbr,Singkatan
DocType: Appraisal Goal,Score (0-5),Skor (0-5)
DocType: Tally Migration,Tally Creditors Account,Akun Tally Kreditor
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: {1} {2} does not match with {3},Baris {0}: {1} {2} tidak cocok dengan {3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Row # {0}:,Baris #{0}:
DocType: Timesheet,Total Costing Amount,Jumlah Total Biaya
DocType: Sales Invoice,Vehicle No,Nomor Kendaraan
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Please select Price List,Silakan pilih Daftar Harga
DocType: Accounts Settings,Currency Exchange Settings,Pengaturan Pertukaran Valuta
DocType: Work Order Operation,Work In Progress,Dalam Pengerjaan
DocType: Leave Control Panel,Branch (optional),Cabang (opsional)
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Baris {0}: pengguna belum menerapkan aturan <b>{1}</b> pada item <b>{2}</b>
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Please select date,Silakan pilih tanggal
DocType: Item Price,Minimum Qty ,Minimum Qty
DocType: Finance Book,Finance Book,Buku Keuangan
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,Daftar Hari Libur
apps/erpnext/erpnext/config/quality_management.py,Review and Action,Tinjauan dan Tindakan
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,This employee already has a log with the same timestamp.{0},Karyawan ini sudah memiliki log dengan stempel waktu yang sama. {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Accountant,Akuntan
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Selling Price List,Daftar Harga Jual
DocType: Patient,Tobacco Current Use,Merokok
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Selling Rate,Tarif Penjualan
DocType: Cost Center,Stock User,Pengguna Persediaan
DocType: Soil Analysis,(Ca+Mg)/K,(Ca+Mg)/K
DocType: Delivery Stop,Contact Information,Informasi Kontak
apps/erpnext/erpnext/public/js/hub/pages/Search.vue,Search for anything ...,Cari apa saja...
DocType: Company,Phone No,Nomor Telpon
DocType: Delivery Trip,Initial Email Notification Sent,Email Notifikasi Awal Terkirim
DocType: Bank Statement Settings,Statement Header Mapping,Pemetaan Tajuk Laporan
,Sales Partners Commission,Komisi Mitra Penjualan
DocType: Soil Texture,Sandy Clay Loam,Sandy Clay Loam
DocType: Purchase Invoice,Rounding Adjustment,Penyesuaian Pembulatan
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation cannot have more than 5 characters,Singkatan tidak boleh melebihi 5 karakter
DocType: Amazon MWS Settings,AU,AU
DocType: Payment Order,Payment Request,Permintaan Pembayaran
apps/erpnext/erpnext/config/retail.py,To view logs of Loyalty Points assigned to a Customer.,Untuk melihat log Poin Loyalitas yang diberikan ke Pelanggan.
DocType: Asset,Value After Depreciation,Nilai Setelah Penyusutan
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Tidak menemukan transferan item {0} di Perintah Kerja {1}, item tidak ditambahkan ke Entri Persediaan"
DocType: Student,O+,O+
apps/erpnext/erpnext/stock/doctype/material_request/material_request_dashboard.py,Related,Terkait
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance date can not be less than employee's joining date,Tanggal hadir tidak bisa sebelum tanggal masuk kerja karyawan
DocType: Grading Scale,Grading Scale Name,Nama Skala Penilaian
DocType: Employee Training,Training Date,Tanggal Pelatihan
apps/erpnext/erpnext/public/js/hub/marketplace.js,Add Users to Marketplace,Tambahkan Pengguna ke Marketplace
apps/erpnext/erpnext/accounts/doctype/account/account.js,This is a root account and cannot be edited.,Ini adalah akun dasar dan tidak bisa diedit.
DocType: POS Profile,Company Address,Alamat Perusahaan
DocType: BOM,Operations,Operasi
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Cannot set authorization on basis of Discount for {0},Tidak bisa mengatur otorisasi atas dasar Diskon untuk {0}
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON cannot be generated for Sales Return as of now,e-Way Bill JSON tidak bisa dihasilkan untuk Pengembalian Penjualan seperti sekarang
DocType: Subscription,Subscription Start Date,Tanggal Mulai Berlangganan
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,Akun piutang standar yang akan digunakan jika tidak ditetapkan pada Pasien untuk memesan biaya Penunjukan.
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name","Lampirkan file .csv dengan dua kolom, satu untuk nama lama dan satu untuk nama baru"
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Address 2,Dari Alamat 2
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_proof_submission/employee_tax_exemption_proof_submission.js,Get Details From Declaration,Ambil Rincian Dari Deklarasi
apps/erpnext/erpnext/accounts/utils.py,{0} {1} not in any active Fiscal Year.,{0} {1} tidak dalam Tahun Anggaran aktif.
DocType: Packed Item,Parent Detail docname,Docname Rincian Induk
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Reference: {0}, Item Code: {1} and Customer: {2}","Referensi: {0}, Kode Item: {1} dan Pelanggan: {2}"
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,{0} {1} is not present in the parent company,{0} {1} tidak ada di perusahaan induk
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Trial Period End Date Cannot be before Trial Period Start Date,Tanggal Akhir Masa Percobaan tidak boleh sebelum Tanggal Mulai Masa Percobaan
apps/erpnext/erpnext/utilities/user_progress.py,Kg,Kg
DocType: Tax Withholding Category,Tax Withholding Category,Kategori Pemotongan Pajak
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py,Cancel the journal entry {0} first,Batalkan entri jurnal {0} terlebih dahulu
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,BOM is not specified for subcontracting item {0} at row {1},BOM belum ditentukan untuk subkontrak item {0} pada baris {1}
DocType: Vital Signs,Reflexes,Refleks
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js,{0} Result submittted,{0} Hasil terkirim
DocType: Item Attribute,Increment,Pertambahan
apps/erpnext/erpnext/templates/pages/search_help.py,Help Results for,Hasil Bantuan untuk
apps/erpnext/erpnext/public/js/stock_analytics.js,Select Warehouse...,Pilih Gudang...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Advertising,Periklanan
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,Perusahaan yang sama dimasukkan lebih dari sekali
DocType: Patient,Married,Menikah
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},Tidak diizinkan untuk {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,Ambil item dari
DocType: Stock Entry,Send to Subcontractor,Kirim ke Subkontraktor
DocType: Purchase Invoice,Apply Tax Withholding Amount,Terapkan Jumlah Pemotongan Pajak
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,Total kuantitas selesai tidak bisa lebih besar dari kuantitas
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},Persediaan tidak bisa diperbarui terhadap Nota Pengiriman {0}
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,Jumlah Total Dikreditkan
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,Tidak ada item terdaftar
DocType: Asset Repair,Error Description,Deskripsi Kesalahan
DocType: Payment Reconciliation,Reconcile,Rekonsiliasi
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,Toko Kelontong
DocType: Quality Inspection Reading,Reading 1,Pembacaan 1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,Dana Pensiun
DocType: Exchange Rate Revaluation Account,Gain/Loss,Laba/Rugi
DocType: Crop,Perennial,Abadi
DocType: Program,Is Published,Diterbitkan
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,Tampilkan Nota Pengiriman
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","Untuk memungkinkan tagihan berlebih, perbarui 'Kelebihan Penagihan' di Pengaturan Akun atau Item."
DocType: Patient Appointment,Procedure,Prosedur
DocType: Accounts Settings,Use Custom Cash Flow Format,Gunakan Format Arus Kas Khusus
DocType: SMS Center,All Sales Person,Semua Penjual
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**Distribusi Bulanan** membantu anda mendistribusikan Anggaran/Target di antara bulan-bulan jika bisnis anda musiman.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,Tidak ada item ditemukan
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,Struktur Gaji Tidak Ada
DocType: Lead,Person Name,Nama Orang
,Supplier Ledger Summary,Ringkasan Buku Besar Pemasok
DocType: Sales Invoice Item,Sales Invoice Item,Item Faktur Penjualan
DocType: Quality Procedure Table,Quality Procedure Table,Tabel Prosedur Kualitas
DocType: Account,Credit,Kredit
DocType: POS Profile,Write Off Cost Center,Pusat Biaya Penghapusan
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""","mis. ""Sekolah Dasar"" atau ""Universitas"""
apps/erpnext/erpnext/config/stock.py,Stock Reports,Laporan Persediaan
DocType: Warehouse,Warehouse Detail,Rincian Gudang
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Tanggal pemeriksaan karbon terakhir tidak bisa tanggal di masa depan
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,Tanggal Akhir Periode tidak bisa setelah Tanggal Akhir Tahun Akademik terkait (Tahun Akademik {}). Perbaiki tanggal dan coba lagi.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Aset Tetap"" tidak bisa tidak dicentang, karena ada data Asset terhadap barang"
DocType: Delivery Trip,Departure Time,Waktu Keberangkatan
DocType: Vehicle Service,Brake Oil,Minyak Rem
DocType: Tax Rule,Tax Type,Jenis Pajak
,Completed Work Orders,Perintah Kerja Selesai
DocType: Support Settings,Forum Posts,Posting Forum
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Tugas dijalankan di latar belakang. Jika ada masalah pada pemrosesan di latar belakang, sistem akan menambahkan komentar tentang kesalahan Rekonsiliasi Persediaan ini dan kembali ke tahap Konsep"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Maaf, masa berlaku kode kupon belum mulai"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Jumlah Kena Pajak
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Anda tidak diizinkan menambah atau memperbarui entri sebelum {0}
DocType: Leave Policy,Leave Policy Details,Rincian Kebijakan Cuti
DocType: BOM,Item Image (if not slideshow),Gambar Barang (jika bukan slideshow)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Baris #{0}: Operasi {1} belum selesai untuk {2} barang jadi dalam Perintah Kerja {3}. Harap perbarui status operasi melalui Kartu Pekerjaan {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Tarif per Jam / 60) * Masa Operasional Aktual
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Baris #{0}: Jenis Dokumen Referensi harus salah satu dari Klaim Biaya atau Entri Jurnal
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Pilih BOM
DocType: SMS Log,SMS Log,Log SMS
DocType: Call Log,Ringing,Dering
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Biaya Barang Terkirim
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Hari Libur di {0} bukan antara Tanggal Awal dan Tanggal Akhir
DocType: Inpatient Record,Admission Scheduled,Pendaftaran Terjadwal
DocType: Student Log,Student Log,Log Siswa
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Template piutang pemasok.
DocType: Lead,Interested,Tertarik
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Pembukaan
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Program:
DocType: Item,Copy From Item Group,Salin Dari Kelompok Stok Barang
DocType: Journal Entry,Opening Entry,Entri Pembukaan
